"replyId","city","units","lang","mode","apikey","city_id","city_name","coord_lon","coord_lat","country","sun_rise","sun_set","temperature","temperature_min","temperature_max","temperature_unit","huminity","pressure","wind_speed","wind_speed_name","wind_direction","wind_direction_code","wind_direction_name","clouds","clouds_name","visibility","precipitation","precipitation_mode","precipitation_unit","weather_number","weather","weather_icon","last_update","humidity_unit","pressure_unit"
"1","Boston","metric","en","xml","50b2ae8523a458183982bf56254556dc","4930956","Boston","-71.06","42.36","US","2016-03-02T11:16:14","2016-03-02T22:36:38","10.26","8","12","metric","93","1008","2.6","Light breeze","310","NW","Northwest","90","overcast clouds","8047","NULL","no","NULL","501","moderate rain","10d","2016-03-02T13:50:00","%","hPa"
"2","Boston","imperial","en","xml","50b2ae8523a458183982bf56254556dc","4930956","Boston","-71.06","42.36","US","2016-03-02T11:16:14","2016-03-02T22:36:38","50.47","46.4","53.6","fahrenheit","93","1008","5.82","Moderate breeze","310","NW","Northwest","90","overcast clouds","8047","NULL","no","NULL","501","moderate rain","10d","2016-03-02T13:50:00","%","hPa"
"3","Chicago","metric","en","xml","50b2ae8523a458183982bf56254556dc","4887398","Chicago","-87.65","41.85","US","2016-03-02T12:22:07","2016-03-02T23:43:26","-10.07","-10.07","-10.07","metric","85","1011.17","2.37","Light breeze","244.5","WSW","West-southwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T13:59:56","%","hPa"
"4","Chicago","imperial","en","xml","50b2ae8523a458183982bf56254556dc","4887398","Chicago","-87.65","41.85","US","2016-03-02T12:22:07","2016-03-02T23:43:26","13.88","13.88","13.88","fahrenheit","85","1011.17","5.3","Gentle Breeze","244.5","WSW","West-southwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T13:59:56","%","hPa"
"5","New York","metric","en","xml","50b2ae8523a458183982bf56254556dc","5128581","New York","-74.01","40.71","US","2016-03-02T11:26:45","2016-03-02T22:49:41","6.43","6.43","6.43","metric","53","1004.2","5.52","Moderate breeze","285","WNW","West-northwest","8","clear sky","NULL","NULL","no","NULL","800","clear sky","02d","2016-03-02T14:00:34","%","hPa"
"6","New York","imperial","en","xml","50b2ae8523a458183982bf56254556dc","5128581","New York","-74.01","40.71","US","2016-03-02T11:26:45","2016-03-02T22:49:41","43.58","43.58","43.58","fahrenheit","53","1004.2","12.35","Strong breeze","285","WNW","West-northwest","8","clear sky","NULL","NULL","no","NULL","800","clear sky","02d","2016-03-02T14:00:34","%","hPa"
"7","Atlanta","metric","en","xml","50b2ae8523a458183982bf56254556dc","4180439","Atlanta","-84.39","33.75","US","2016-03-02T12:03:26","2016-03-02T23:35:53","3.43","3.43","3.43","metric","88","1001.52","5.22","Gentle Breeze","322.5","NW","Northwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T13:54:54","%","hPa"
"8","Atlanta","imperial","en","xml","50b2ae8523a458183982bf56254556dc","4180439","Atlanta","-84.39","33.75","US","2016-03-02T12:03:26","2016-03-02T23:35:53","38.18","38.18","38.18","fahrenheit","88","1001.52","11.68","Strong breeze","322.5","NW","Northwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T13:54:54","%","hPa"
"9","Miami","metric","en","xml","50b2ae8523a458183982bf56254556dc","4164138","Miami","-80.19","25.77","US","2016-03-02T11:41:57","2016-03-02T23:23:38","24.46","24.46","24.46","metric","62","1033.87","2.07","Light breeze","309","NW","Northwest","68","broken clouds","NULL","NULL","no","NULL","803","broken clouds","04d","2016-03-02T13:54:55","%","hPa"
"10","Miami","imperial","en","xml","50b2ae8523a458183982bf56254556dc","4164138","Miami","-80.19","25.77","US","2016-03-02T11:41:57","2016-03-02T23:23:38","76.02","76.02","76.02","fahrenheit","62","1033.87","4.63","Gentle Breeze","309","NW","Northwest","68","broken clouds","NULL","NULL","no","NULL","803","broken clouds","04d","2016-03-02T13:54:55","%","hPa"
